GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name,Gene description
ENSMUSG00000024598,13639.7416141436,0.785089750949983,0.175378734173262,4.47653904363553,7.58627997142377e-06,0.0021244701569289,18,58141695,58343559,-1,Fbn2,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490]
ENSMUSG00000032218,59832.47708617,0.878738904363812,0.196650136249637,4.46853951450253,7.87554657168346e-06,0.002151295226799,9,70314974,70328829,-1,Ccnb2,cyclin B2 [Source:MGI Symbol;Acc:MGI:88311]
ENSMUSG00000037020,21169.8396312686,0.764009366231782,0.170992828310051,4.46807842049639,7.89253739714954e-06,0.002151295226799,7,29939563,29979844,-1,Wdr62,WD repeat domain 62 [Source:MGI Symbol;Acc:MGI:1923696]
ENSMUSG00000031016,119026.137553095,-0.776778225618725,0.175263468416963,-4.43206010148514,9.33369907734728e-06,0.0025106422399764,7,109721253,109742493,1,Wee1,WEE 1 homolog 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:103075]
ENSMUSG00000046179,44350.7352525886,0.736262345427287,0.166314015467144,4.42694106903298,9.55788310478994e-06,0.0025375559001457,7,48516177,48531344,-1,E2f8,E2F transcription factor 8 [Source:MGI Symbol;Acc:MGI:1922038]
ENSMUSG00000032066,57445.396342523,0.774158416358909,0.175527668371226,4.410463737954,1.0314947908503e-05,0.0026692212670066,9,50444387,50466481,-1,Bco2,beta-carotene oxygenase 2 [Source:MGI Symbol;Acc:MGI:2177469]
ENSMUSG00000038252,178033.9272447,0.822085393342123,0.186377539210775,4.41086086243699,1.02960463784282e-05,0.0026692212670066,6,125144970,125168664,-1,Ncapd2,"non-SMC condensin I complex, subunit D2 [Source:MGI Symbol;Acc:MGI:1915548]"
ENSMUSG00000021176,5403.92879290609,0.840868140230775,0.192649231791799,4.36476248781268,1.27260954683074e-05,0.0032519946207326,12,99659304,99850698,-1,Efcab11,EF-hand calcium binding domain 11 [Source:MGI Symbol;Acc:MGI:1926017]
ENSMUSG00000021697,13827.9112367829,0.900460713365838,0.206560434765616,4.35930876301452,1.30473915182844e-05,0.0032929361087443,13,108452866,108544316,1,Depdc1b,DEP domain containing 1B [Source:MGI Symbol;Acc:MGI:2145425]
ENSMUSG00000040624,112241.002669142,0.383045031641494,0.0885753469837261,4.32451065319418,1.52870816995775e-05,0.0038111440388349,10,3690364,3917303,1,Plekhg1,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1 [Source:MGI Symbol;Acc:MGI:2676551]"
ENSMUSG00000039323,37584.3541589064,0.952229396144769,0.221322962836156,4.30244283712078,1.68925260715104e-05,0.004160649523854,1,72863662,72891633,1,Igfbp2,insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437]
ENSMUSG00000111709,20705.3662983869,-0.894725535361699,0.208312976291807,-4.29510226049652,1.74612829900905e-05,0.004249535811505,9,78164411,78176448,1,Gsta13,glutathione S-transferase alpha 13 [Source:MGI Symbol;Acc:MGI:3826440]
ENSMUSG00000027699,99074.955712116,0.802048331528588,0.188790791923065,4.24834454773321,2.15356004225591e-05,0.0051794385816279,3,27151371,27208027,-1,Ect2,ect2 oncogene [Source:MGI Symbol;Acc:MGI:95281]
ENSMUSG00000062563,20563.0261223928,-0.951891461067168,0.225066163411064,-4.22938502456551,2.34331000966821e-05,0.0055702658753078,12,24715832,24731812,-1,Cys1,cystin 1 [Source:MGI Symbol;Acc:MGI:2177632]
ENSMUSG00000040675,83306.1500764159,-0.54876310051079,0.129852804889052,-4.22603963757009,2.37840114641297e-05,0.0055886959351862,10,3923118,4117081,1,Mthfd1l,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Source:MGI Symbol;Acc:MGI:1924836]
ENSMUSG00000026683,28522.5835501242,0.754767030002217,0.178771750641172,4.22195915906855,2.42187999583144e-05,0.0056261923584979,1,169325503,169359033,-1,Nuf2,"NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
ENSMUSG00000008129,5087.26985163011,-0.922905078421418,0.218913370648725,-4.21584609330392,2.48843435161736e-05,0.0057158498258554,8,84874654,84899219,1,Brme1,break repair meiotic recombinase recruitment factor 1 [Source:MGI Symbol;Acc:MGI:1921916]
ENSMUSG00000035683,46805.8651070494,0.856009325489854,0.203245188440224,4.21170770171325,2.53447365283052e-05,0.0057569160983127,4,44300876,44364675,1,Melk,maternal embryonic leucine zipper kinase [Source:MGI Symbol;Acc:MGI:106924]
ENSMUSG00000024791,16100.0103867478,0.839142789991403,0.200143176483416,4.19271246082643,2.7563872772247e-05,0.0060590134525058,19,6135013,6141807,1,Cdca5,cell division cycle associated 5 [Source:MGI Symbol;Acc:MGI:1915099]
ENSMUSG00000027469,84508.5820580595,0.822442690569179,0.196012125826761,4.19587659232914,2.71818227875015e-05,0.0060590134525058,2,152689884,152737241,1,Tpx2,"TPX2, microtubule-associated [Source:MGI Symbol;Acc:MGI:1919369]"
ENSMUSG00000032783,10717.8602004885,0.893198026351281,0.212929059126845,4.1948150713388,2.73094303245057e-05,0.0060590134525058,15,98972456,98981290,1,Troap,trophinin associated protein [Source:MGI Symbol;Acc:MGI:1925983]
ENSMUSG00000039200,1691.25090484952,0.832472461331825,0.199659238255848,4.16946627966734,3.05313782490076e-05,0.0066174816045268,16,10010576,10069342,1,Atf7ip2,activating transcription factor 7 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1922579]
ENSMUSG00000039633,26243.6046326086,-0.557930556492743,0.133866093935687,-4.16782577342393,3.07518834041018e-05,0.0066174816045268,8,36683218,36716670,-1,Lonrf1,LON peptidase N-terminal domain and ring finger 1 [Source:MGI Symbol;Acc:MGI:3609241]
ENSMUSG00000041431,72699.7711809592,0.797718490757058,0.191753875475562,4.16011665359391,3.18085088337668e-05,0.0067735556884239,13,100915158,100923078,-1,Ccnb1,cyclin B1 [Source:MGI Symbol;Acc:MGI:88302]
ENSMUSG00000020914,439630.17732102,0.789458201225172,0.190254686607777,4.14948096838579,3.33229990165721e-05,0.0069655206995985,11,98883769,98915015,-1,Top2a,topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]
ENSMUSG00000068452,601272.870872093,0.71956369332113,0.173430159430488,4.14901131201193,3.33914312263686e-05,0.0069655206995985,2,122109728,122128930,-1,Duox2,dual oxidase 2 [Source:MGI Symbol;Acc:MGI:3036280]
ENSMUSG00000018427,71066.6113270348,0.584727292339491,0.141649490085662,4.12798727327489,3.6595236350993e-05,0.007556731482054,11,86827251,86884533,-1,Ypel2,yippee like 2 [Source:MGI Symbol;Acc:MGI:1925114]
ENSMUSG00000028150,282099.834506229,-0.675968758787846,0.164234792163483,-4.11586820236585,3.8572468497581e-05,0.0078853697349604,3,94280101,94305583,1,Rorc,RAR-related orphan receptor gamma [Source:MGI Symbol;Acc:MGI:104856]
ENSMUSG00000033952,105024.090438579,0.781026799456114,0.190080434695488,4.10892788996055,3.97500159020444e-05,0.0079678935349586,1,139382510,139421829,1,Aspm,abnormal spindle microtubule assembly [Source:MGI Symbol;Acc:MGI:1334448]
ENSMUSG00000037725,41414.3680972335,0.792670308078395,0.192915686448164,4.10889504463071,3.97556689608071e-05,0.0079678935349586,8,22658176,22675835,-1,Ckap2,cytoskeleton associated protein 2 [Source:MGI Symbol;Acc:MGI:1931797]
ENSMUSG00000037466,36444.547951996,0.682159542957354,0.166592771025185,4.09477277290877,4.22582630386648e-05,0.0083872395271788,12,113120041,113129668,1,Tedc1,tubulin epsilon and delta complex 1 [Source:MGI Symbol;Acc:MGI:2144738]
ENSMUSG00000028702,23628.3716255622,0.687420487831278,0.168430476510854,4.08133077856,4.47785739367772e-05,0.0088020037210532,4,115951461,115980887,-1,Rad54l,RAD54 like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:894697]
ENSMUSG00000027331,71396.3953517465,0.687878133069152,0.168645101680012,4.07885035626078,4.52589563711773e-05,0.0088117032866283,2,118644484,118684438,1,Knstrn,kinetochore-localized astrin/SPAG5 binding [Source:MGI Symbol;Acc:MGI:1289298]
ENSMUSG00000039814,3942.21227122143,0.961447406558878,0.239363169269918,4.01668898975305,5.90215341191258e-05,0.0112764226354887,8,18982745,19000991,-1,Xkr5,X-linked Kx blood group related 5 [Source:MGI Symbol;Acc:MGI:2442327]
ENSMUSG00000071551,448607.544424697,-0.725093593610468,0.180457053862485,-4.01809504306225,5.86705335468631e-05,0.0112764226354887,13,4278699,4302842,1,Akr1c19,"aldo-keto reductase family 1, member C19 [Source:MGI Symbol;Acc:MGI:2653678]"
ENSMUSG00000024056,26508.5330883145,0.783747931789646,0.195275721057836,4.01354519416942,5.98135438322689e-05,0.0113219284866951,17,71803095,71833852,-1,Ndc80,NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914302]
ENSMUSG00000037379,43869.9281034068,0.945048681014521,0.236467965173289,3.99651885329147,6.42807645035715e-05,0.0120558868692341,5,33355528,33375799,-1,Spon2,"spondin 2, extracellular matrix protein [Source:MGI Symbol;Acc:MGI:1923724]"
ENSMUSG00000029414,53488.6441486096,0.672432199174968,0.168938810700989,3.98032989805481,6.88196951525539e-05,0.012789827527306,5,123887779,123959656,1,Kntc1,kinetochore associated 1 [Source:MGI Symbol;Acc:MGI:2673709]
ENSMUSG00000029516,108824.632297311,0.819924131795546,0.206542659434667,3.96975682427922,7.19460213129217e-05,0.0132208534165126,5,115983337,116147006,1,Cit,citron [Source:MGI Symbol;Acc:MGI:105313]
ENSMUSG00000031756,9825.93233433728,0.62083825036496,0.156455294380579,3.9681511119385,7.2432401440562e-05,0.0132208534165126,8,117648469,117668246,1,Cenpn,centromere protein N [Source:MGI Symbol;Acc:MGI:1919405]
ENSMUSG00000045273,7656.56708812161,0.604197376528727,0.152392813411233,3.96473667625188,7.34770126150153e-05,0.0132928368928209,13,100896182,100912407,-1,Cenph,centromere protein H [Source:MGI Symbol;Acc:MGI:1349448]
