GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome,Start,End,Strand,Feature,Gene name
ENSMUSG00000123865.1,44.2431959625006,-1.02585092498523,0.252044887998444,-4.07011200715789,4.69905400225894e-05,0.0096033245035227,chr7,112842795,112861925,-,,ENSMUSG00000123865
ENSMUSG00000075478.4,44.183569754748,-1.33403102330445,0.328308556125314,-4.0633452842309,4.83743901248529e-05,0.0098095013277211,chr14,109146231,109151590,-,,Slitrk1
ENSMUSG00000121485.2,240.716945414192,1.46118847048375,0.361753789579488,4.03917944351673,5.36385188464792e-05,0.0107109161412599,chr13,12628944,12684621,-,,Gpr137b-ps
ENSMUSG00000028804.21,24.2902625387602,-1.53548693104454,0.380555952266709,-4.03485196302595,5.46367339098701e-05,0.0108275933511234,chr4,127881649,128461449,+,,Csmd2
ENSMUSG00000030256.12,135.526424010865,-1.44330858539918,0.359922178720888,-4.01005736998062,6.07039967174539e-05,0.0117626359269028,chr6,145803968,145811284,-,,Bhlhe41
ENSMUSG00000022894.7,227.874921515221,-1.1889048242077,0.296419054653071,-4.01089203121304,6.0489769624377e-05,0.0117626359269028,chr16,85653060,85698716,-,,Adamts5
ENSMUSG00000022579.11,62.2999729645463,-1.07937400703616,0.269603447654467,-4.00356158805328,6.23959477588387e-05,0.0120015852751725,chr15,75468476,75471330,+,,Gpihbp1
ENSMUSG00000027525.19,41.5363090873955,-1.22831180380615,0.307496545010581,-3.99455481284799,6.48159257626976e-05,0.0122863753770029,chr2,177760767,177980285,+,,Phactr3
ENSMUSG00000010476.16,113.746537208498,-1.06982507265779,0.269022209973921,-3.9767165423312,6.9873371561296e-05,0.0130558394762282,chr7,136795401,136916174,-,,Ebf3
ENSMUSG00000092035.10,144.006135051274,-1.0000268780435,0.251599512692715,-3.97467732485182,7.04747382398636e-05,0.0130748133164297,chr6,4747305,4760517,+,,Peg10
ENSMUSG00000026621.15,25.8131689498348,-1.62149458789476,0.408168913979308,-3.97260676244679,7.10903561931295e-05,0.0130961452651836,chr1,184518963,184543394,-,,Mtarc1
ENSMUSG00000057715.14,27.458632542804,-1.51517519024227,0.381929036913659,-3.96716416873222,7.27328941358724e-05,0.0133050334104915,chr1,11484328,12046125,+,,A830018L16Rik
ENSMUSG00000040283.15,112.995047228246,-1.26384658420491,0.318874058536183,-3.96346629765588,7.3869296140816e-05,0.0134190758176917,chr11,49056411,49077986,-,,Btnl9
ENSMUSG00000132705.1,34.8828007048825,1.64539192973867,0.417091907118399,3.94491454199229,7.98284427513172e-05,0.0143029605063815,chr13,100725505,100730628,-,,ENSMUSG00000132705
ENSMUSG00000030108.15,7.98162077557398,-1.5180472654338,0.385206604985457,-3.9408650988503,8.1188277484964e-05,0.0144476472838719,chr6,121277185,121314692,+,,Slc6a13
ENSMUSG00000007097.15,1285.56741650248,-1.32908052957343,0.337540796634782,-3.93754041829645,8.23210690766592e-05,0.0145502489592995,chr1,172099275,172125631,-,,Atp1a2
ENSMUSG00000039323.19,412.338884012618,1.11850158506082,0.284581457374629,3.93033894540922,8.48261976735404e-05,0.0146241868188339,chr1,72863661,72891633,+,,Igfbp2
ENSMUSG00000056856.15,45.8508812552634,-1.05291180987085,0.267675877244095,-3.93353267657622,8.37064533921301e-05,0.0146241868188339,chr7,138542458,138663892,+,,Jakmip3
ENSMUSG00000074657.6,518.572399229983,-1.33983480194272,0.340904452921691,-3.93023555562206,8.48626823074767e-05,0.0146241868188339,chr10,127061564,127099217,-,,Kif5a
ENSMUSG00000053693.17,59.8469080559645,-1.13776027180821,0.289891939822489,-3.92477373639606,8.68112944749276e-05,0.0148424617788865,chr8,85638531,85663988,-,,Mast1
ENSMUSG00000008658.18,51.8979492817603,-1.1215298085341,0.287207194780929,-3.904950255127,9.42447692549309e-05,0.0159054768963854,chr16,5124664,7229391,+,,Rbfox1
ENSMUSG00000066129.18,46.0322217264759,-1.27484842997162,0.326844243680121,-3.90047692325063,9.60033773296381e-05,0.0159958748252612,chr7,139474611,139521450,+,,Kndc1
ENSMUSG00000064225.7,39.2602194561363,-1.63486741767276,0.419716926616814,-3.89516675167436,9.81311956885222e-05,0.0162469237216206,chr9,95441709,95450076,+,,Paqr9
ENSMUSG00000060882.6,39.7306877499319,-1.23581201970562,0.318128847286989,-3.88462734594696,0.0001024869637708,0.0166519036352846,chr6,21215501,21729804,+,,Kcnd2
ENSMUSG00000038077.8,253.776105367792,-1.17068143899216,0.301606747651614,-3.88148291809578,0.0001038214456316,0.0167645999770306,chr6,126685291,126717637,-,,Kcna6
ENSMUSG00000026109.15,47.3134566892787,-1.21704244983642,0.313932832805907,-3.87676064003433,0.0001058564041074,0.0169045567870897,chr1,50939805,51226429,+,,Tmeff2
ENSMUSG00000024304.15,261.283380961859,-1.34237847981658,0.347621367459092,-3.86161095225124,0.0001126418369375,0.0178581685602982,chr18,16721933,16942303,-,,Cdh2
ENSMUSG00000038663.8,12.851866404511,-1.60345046588732,0.416034258500296,-3.85413083929044,0.0001161414774823,0.0182146607031794,chr7,81183055,81216692,-,,Fsd2
ENSMUSG00000069300.4,191.934505124937,1.41587032441102,0.36739278061888,3.85383273461703,0.0001162830512416,0.0182146607031794,chr13,22227383,22227846,+,,H2bc11
ENSMUSG00000028957.13,1791.87473113254,-1.3051985663462,0.339307593577252,-3.84665298110706,0.0001197423767806,0.0185345611491467,chr4,151088108,151129122,-,,Per3
ENSMUSG00000013415.10,68.3752458067912,1.21488952570022,0.316342959640969,3.84041904102767,0.0001228244739455,0.018789271426559,chr11,95847988,95896766,-,,Igf2bp1
ENSMUSG00000040204.7,633.85882416689,1.03348037821851,0.270159146759838,3.82545026001744,0.0001305332890537,0.0197376896436822,chr9,65797518,65810548,+,,Pclaf
ENSMUSG00000034145.15,53.1859899559344,-1.27992162969678,0.334934698723694,-3.82140648482843,0.0001326927306197,0.0199489031050763,chr12,87068113,87136817,+,,Tmem63c
ENSMUSG00000061947.11,28.6544081415774,-1.43060277765506,0.375355710185509,-3.81132546764248,0.000138223632555,0.0206616685943315,chr12,103581044,103597703,-,,Serpina10
ENSMUSG00000098912.10,111.453629867017,-1.01584564094112,0.266754613237379,-3.80816522200926,0.000140001722121,0.0208085514145718,chr3,88690249,88742502,-,,1500004A13Rik
ENSMUSG00000128948.1,13.0032193604569,-1.60015371563877,0.420529423754571,-3.80509335435386,0.0001417507177469,0.0208317810423782,chr9,82994783,83006934,+,,ENSMUSG00000128948
ENSMUSG00000038128.8,34.4972228848207,-1.00720545640618,0.264613893115779,-3.80632114416414,0.0001410492100515,0.0208317810423782,chr18,33067983,33324281,+,,Camk4
ENSMUSG00000092083.5,222.263504570646,-1.08984613630542,0.286878875571202,-3.79897660340251,0.0001452948061521,0.0210998272487813,chr1,15357477,15793974,+,,Kcnb2
ENSMUSG00000055540.16,49.9744916470761,-1.29716282381148,0.341372632162652,-3.79984422182218,0.000144787072697,0.0210998272487813,chr16,59473845,60425894,-,,Epha6
ENSMUSG00000053399.10,320.038936683309,-1.31713237560919,0.348080714404947,-3.78398549848089,0.0001543368198784,0.022088613644215,chr8,114423757,114575370,-,,Adamts18
ENSMUSG00000060371.13,6.81937368719367,-1.54784039715913,0.410068656602396,-3.77458840669191,0.0001602720637715,0.0227287699134876,chr5,130398295,130876253,+,,Caln1
ENSMUSG00000024912.7,62.7916866222478,1.36463798275557,0.361819008875101,3.77160389388674,0.0001622015969135,0.0227635629731179,chr19,5497574,5505974,+,,Fosl1
ENSMUSG00000030495.13,59.4474762078224,-1.56160858265029,0.415359944996553,-3.75965136133493,0.0001701503084916,0.0232690700736001,chr7,34885809,34900539,+,,Slc7a10
